aX,aY,aZ,gX,gY,gZ
0.196,-0.505,0.083,-21.912,31.616,-76.538
0.221,-0.829,0.101,-25.146,36.133,-100.098
0.232,-1.027,0.122,-25.635,43.457,-119.751
0.252,-1.250,0.144,-20.752,70.068,-139.160
0.328,-1.717,0.175,-20.813,87.158,-138.672
0.359,-1.901,0.176,-30.396,118.530,-117.981
0.400,-2.036,0.160,-39.856,130.432,-99.182
0.407,-1.966,0.164,-50.537,138.611,-76.660
0.403,-1.662,0.181,-52.063,143.921,-29.663
0.410,-1.500,0.166,-40.833,140.564,-8.850
0.420,-1.356,0.141,-22.156,115.601,24.353
0.408,-1.113,0.046,-16.479,93.262,36.011
0.389,-1.014,-0.008,-19.104,39.978,47.607
0.365,-0.860,-0.057,-24.902,16.296,48.523
0.355,-0.797,-0.051,-28.198,-2.258,47.668
0.339,-0.742,-0.037,-24.414,-27.405,44.312
0.298,-0.658,-0.004,-22.400,-37.231,42.969
0.279,-0.621,0.013,-18.555,-52.490,41.626
0.233,-0.535,0.052,-11.902,-56.885,41.199
0.204,-0.492,0.055,3.052,-60.364,39.001
0.147,-0.422,0.050,3.723,-60.791,35.767
0.116,-0.401,0.048,0.366,-60.120,28.931
0.090,-0.404,0.038,-2.136,-52.246,0.244
0.076,-0.538,-0.013,-6.409,-47.974,-20.386
0.091,-0.665,-0.001,-26.917,-40.894,-61.157
0.146,-0.964,0.042,-23.132,-34.363,-77.820
0.170,-1.124,0.052,7.141,-14.221,-97.839
0.234,-1.451,0.088,21.606,-3.357,-101.624
0.276,-1.592,0.108,29.480,6.348,-102.112
0.326,-1.711,0.117,37.292,18.188,-84.961
0.394,-1.803,0.121,38.513,21.851,-64.331
0.389,-1.741,0.141,29.541,23.560,-11.414
0.318,-1.473,0.178,23.499,18.494,12.146
0.272,-1.327,0.185,19.714,9.827,29.541
0.239,-1.203,0.191,15.625,-13.550,50.049
0.216,-1.034,0.194,15.930,-25.635,57.190
0.219,-0.971,0.179,10.986,-42.480,68.848
0.210,-0.854,0.162,6.714,-44.434,71.960
0.191,-0.791,0.159,5.249,-40.955,72.449
0.173,-0.698,0.130,6.470,-39.124,70.984
0.177,-0.671,0.129,6.653,-37.231,68.848
0.184,-0.649,0.132,4.822,-27.466,64.697
0.192,-0.591,0.118,3.418,-20.630,63.049
0.186,-0.551,0.105,-8.911,-9.277,58.289
0.161,-0.476,0.090,-12.695,-5.066,53.955
0.151,-0.448,0.083,-7.751,-0.977,47.729
0.149,-0.439,0.075,13.733,5.676,28.015
0.189,-0.504,0.055,19.531,7.446,16.174
0.221,-0.557,0.058,23.315,7.263,-2.563
0.283,-0.694,0.083,30.090,5.554,-8.118
0.320,-0.786,0.091,56.885,0.183,-12.878
0.377,-0.977,0.056,64.392,-4.639,-13.184
0.393,-1.057,0.030,65.491,-11.780,-14.648
0.413,-1.138,0.012,69.885,-28.503,-27.161
0.469,-1.328,0.001,71.655,-35.339,-37.476
0.493,-1.428,0.014,63.293,-42.297,-56.274
0.517,-1.611,0.052,57.556,-41.138,-61.584
0.524,-1.681,0.063,51.514,-37.231,-63.354
0.531,-1.725,0.071,37.292,-24.536,-56.946
0.540,-1.693,0.097,27.161,-17.151,-49.805
0.530,-1.584,0.122,1.953,1.404,-31.555
0.477,-1.245,0.183,-9.338,12.634,-21.057
0.440,-1.058,0.214,-25.818,35.217,0.061
0.394,-0.778,0.233,-28.931,45.044,9.338
0.382,-0.697,0.219,-31.494,52.795,18.066
0.373,-0.635,0.199,-50.110,61.035,29.846
0.346,-0.531,0.143,-59.570,60.974,32.043
0.332,-0.489,0.106,-68.909,51.819,31.921
0.311,-0.426,0.047,-72.021,44.250,30.273
0.307,-0.413,0.029,-73.547,36.438,27.222
0.311,-0.410,0.024,-70.618,25.085,22.217
0.319,-0.403,0.030,-64.453,22.705,20.630
0.320,-0.400,0.033,-60.242,21.606,14.160
0.310,-0.413,0.046,-61.279,21.179,8.057
0.301,-0.435,0.055,-57.190,20.203,-10.376
0.282,-0.530,0.084,-54.260,21.301,-21.545
0.272,-0.625,0.103,-54.077,24.414,-33.813
0.274,-0.758,0.137,-51.636,35.889,-64.941
0.320,-1.116,0.202,-35.767,44.434,-81.970
0.361,-1.327,0.201,13.428,66.711,-101.318
0.472,-1.820,0.061,26.001,75.195,-94.299
0.536,-2.013,-0.012,14.526,74.463,-72.815
0.591,-2.083,0.032,-17.273,52.917,-11.230
0.661,-1.956,0.216,15.198,47.363,12.634
0.645,-1.803,0.204,75.195,41.077,38.757
0.516,-1.392,0.046,76.904,26.733,44.922
0.436,-1.183,-0.016,55.481,-27.588,52.185
0.310,-0.860,-0.043,40.100,-59.448,55.481
0.270,-0.757,-0.027,24.353,-87.585,58.838
0.244,-0.695,-0.004,5.615,-120.117,60.608
0.212,-0.637,0.053,1.831,-126.282,58.105
0.201,-0.612,0.083,3.296,-130.676,48.035
0.184,-0.574,0.125,5.127,-130.615,41.992
0.181,-0.561,0.136,6.714,-129.272,36.499
0.181,-0.550,0.149,3.418,-121.399,28.625
0.185,-0.531,0.171,-2.380,-114.075,26.978
0.183,-0.523,0.174,-14.709,-94.177,26.550
0.188,-0.517,0.190,-21.057,-82.397,26.245
0.188,-0.508,0.196,-25.085,-69.641,25.574
0.181,-0.458,0.200,-24.048,-42.725,23.254
0.172,-0.422,0.203,-22.278,-29.358,21.667
0.163,-0.390,0.201,-11.353,-6.348,15.503
0.152,-0.382,0.182,1.343,1.282,10.132
0.148,-0.436,0.162,40.039,6.226,-7.812
0.197,-0.750,0.098,57.190,2.319,-20.874
0.276,-1.005,0.077,70.435,-6.470,-36.255
0.376,-1.300,0.070,90.820,-29.419,-68.970
0.553,-1.899,0.026,98.877,-38.513,-83.374
0.604,-2.133,-0.006,104.309,-50.415,-95.215
0.692,-2.419,-0.016,107.910,-55.298,-86.853
0.729,-2.406,0.027,110.718,-57.922,-69.946
0.664,-1.986,0.155,102.417,-44.556,-31.433
0.552,-1.622,0.212,85.510,-30.823,-15.015
0.421,-1.255,0.241,30.823,-11.230,11.536
0.259,-0.764,0.273,10.803,-7.324,20.569
0.252,-0.650,0.294,-1.221,-1.099,33.447
0.265,-0.526,0.338,-6.042,5.859,38.269
0.267,-0.485,0.343,-17.517,16.113,40.894
0.273,-0.453,0.329,-48.889,36.255,37.903
0.276,-0.405,0.250,-57.312,42.542,34.363
0.286,-0.395,0.197,-64.148,44.067,32.410
0.313,-0.378,0.118,-69.214,39.795,34.851
0.318,-0.367,0.102,-69.763,28.381,40.710
0.317,-0.358,0.103,-67.139,23.926,41.443
0.311,-0.358,0.122,-63.782,20.813,39.001
0.314,-0.370,0.125,-54.321,18.127,25.513
0.325,-0.443,0.127,-49.194,16.968,14.648
0.340,-0.520,0.123,-29.175,14.465,-16.235
0.372,-0.742,0.151,-22.522,14.648,-34.058
0.390,-0.885,0.177,-21.057,17.090,-51.514
0.690,-1.836,0.314,-91.980,33.691,-40.283
0.688,-1.817,0.312,95.276,-9.521,-9.583
0.619,-1.596,0.306,98.145,-26.489,5.371
0.561,-1.404,0.288,69.031,-36.682,19.653
0.492,-1.198,0.243,25.208,-51.270,44.495
0.371,-0.843,0.165,24.719,-59.448,52.063
0.330,-0.708,0.165,48.645,-64.209,52.185
0.309,-0.575,0.119,63.965,-59.448,46.997
0.318,-0.567,0.091,74.585,-47.180,35.095
0.370,-0.587,0.094,77.759,-38.879,29.480
0.396,-0.610,0.079,84.778,-27.527,25.696
0.407,-0.625,0.044,83.923,-2.075,23.132
0.394,-0.634,-0.051,69.763,8.179,22.095
0.392,-0.646,-0.090,19.226,18.677,17.639
0.432,-0.735,-0.086,-6.470,19.470,13.489
0.474,-0.817,-0.075,-19.958,19.226,8.057
