aX,aY,aZ,gX,gY,gZ
-0.221,0.856,-0.144,-0.305,-21.912,20.325
-0.254,0.887,-0.145,-2.869,-21.118,20.874
-0.294,0.930,-0.141,-0.122,-16.479,17.700
-0.348,1.020,-0.126,2.380,-13.062,13.000
-0.352,1.046,-0.130,2.502,-3.662,1.343
-0.338,1.063,-0.151,1.038,-0.366,-3.357
-0.333,1.067,-0.158,-4.761,1.770,-8.728
-0.323,1.078,-0.164,-8.850,3.967,-9.949
-0.314,1.090,-0.171,-13.062,8.240,-11.108
-0.303,1.104,-0.192,-18.066,22.827,-16.602
-0.280,1.114,-0.275,-17.151,33.203,-21.606
-0.268,1.117,-0.320,-13.428,55.359,-32.959
-0.253,1.120,-0.389,-15.625,65.674,-36.926
-0.260,1.130,-0.415,-27.832,86.548,-41.138
-0.307,1.169,-0.431,-36.133,98.999,-43.823
-0.345,1.168,-0.442,-45.776,113.403,-48.401
-0.385,1.155,-0.468,-66.833,146.606,-63.721
-0.503,1.115,-0.570,-80.505,166.321,-74.158
-0.576,1.093,-0.650,-101.746,214.355,-101.318
-0.745,1.057,-0.858,-101.990,238.342,-117.065
-0.842,1.027,-0.970,-99.792,279.724,-153.870
-1.007,0.875,-1.252,-102.417,292.419,-172.180
-1.068,0.789,-1.420,-109.924,294.556,-186.768
-1.109,0.742,-1.570,-128.601,269.226,-206.116
-1.117,0.729,-1.773,-133.118,253.479,-216.553
-1.101,0.673,-1.844,-134.888,225.464,-253.967
-1.123,0.352,-1.957,-137.024,205.872,-281.616
-1.129,0.125,-1.987,-129.333,169.678,-341.858
0.703,-1.317,0.558,-29.663,50.537,50.293
0.704,-1.336,0.580,-31.616,60.974,61.584
0.652,-1.292,0.572,-34.912,68.298,67.383
0.613,-1.248,0.538,-39.063,75.989,72.693
0.575,-1.201,0.495,-42.297,90.332,79.468
0.509,-1.081,0.396,-42.786,95.947,80.994
0.487,-1.030,0.347,-51.025,100.525,82.458
0.473,-0.990,0.258,-54.565,100.952,83.252
0.472,-0.971,0.212,-55.786,100.708,86.121
0.471,-0.913,0.121,-56.030,98.816,88.196
0.483,-0.904,0.079,-57.068,95.581,89.783
0.498,-0.897,0.045,-57.007,89.783,92.590
0.506,-0.814,-0.022,-55.054,88.684,93.384
0.513,-0.773,-0.059,-52.063,86.365,88.196
0.594,-0.791,-0.124,-52.063,83.923,84.351
0.651,-0.810,-0.150,-52.002,80.139,83.313
0.706,-0.822,-0.164,-48.889,67.078,91.003
0.803,-0.812,-0.145,-46.570,59.082,96.436
0.847,-0.799,-0.115,-41.748,46.448,103.516
0.914,-0.767,-0.036,-39.124,44.678,104.980
0.927,-0.742,-0.010,-35.889,49.988,106.506
0.922,-0.694,-0.024,-36.133,52.368,108.337
0.906,-0.660,-0.051,-36.926,51.575,111.389
0.893,-0.617,-0.072,-38.330,42.175,118.408
0.881,-0.532,-0.067,-39.185,38.391,121.155
0.887,-0.495,-0.056,-35.156,36.194,122.070
0.943,-0.462,-0.037,-31.555,34.668,120.850
0.988,-0.454,-0.018,-29.419,30.823,120.911
1.038,-0.454,0.016,-32.654,18.005,127.075
1.128,-0.435,0.104,-35.034,11.841,131.104
1.176,-0.419,0.154,-40.527,-1.160,138.123
1.308,-0.494,0.295,-46.326,-8.606,141.541
1.358,-0.543,0.377,-60.486,-16.846,153.687
1.333,-0.535,0.478,-67.871,-16.418,161.682
1.293,-0.520,0.464,-76.477,-14.893,168.335
1.260,-0.528,0.410,-95.825,-12.939,177.307
1.215,-0.588,0.269,-103.394,-12.817,182.251
1.203,-0.625,0.197,-116.394,-13.672,196.594
1.174,-0.667,0.065,-120.789,-15.564,206.116
1.156,-0.640,-0.001,-131.531,-27.283,230.469
1.109,-0.509,-0.165,-138.306,-35.828,244.141
1.081,-0.427,-0.258,-140.747,-44.556,256.409
1.035,-0.334,-0.334,-129.150,-61.157,274.780
0.920,-0.147,-0.405,-124.390,-72.449,281.738
0.860,-0.057,-0.391,-127.319,-104.431,292.908
0.740,0.137,-0.330,-131.042,-121.155,296.204
0.695,0.225,-0.304,-138.062,-144.714,292.786
0.632,0.335,-0.255,-141.785,-148.987,287.415
0.613,0.355,-0.238,-146.118,-148.499,282.043
0.585,0.369,-0.225,-147.217,-140.808,275.513
0.478,0.423,-0.204,-139.404,-135.315,272.156
0.405,0.460,-0.193,-126.465,-122.742,266.235
0.230,0.587,-0.196,-127.380,-119.385,264.404
0.155,0.664,-0.212,-137.390,-124.451,255.554
0.052,0.786,-0.234,-141.968,-129.333,246.887
0.014,0.825,-0.222,-142.578,-131.348,234.985
-0.018,0.841,-0.203,-131.775,-117.126,202.942
-0.050,0.805,-0.198,-123.291,-102.844,185.730
-0.042,0.774,-0.210,-109.436,-76.904,158.752
-0.000,0.709,-0.271,-108.154,-70.313,150.635
0.006,0.693,-0.315,-107.666,-67.810,141.052
-0.036,0.699,-0.383,-102.783,-66.895,135.559
-0.071,0.697,-0.416,-95.764,-63.904,127.563
-0.106,0.686,-0.450,-77.820,-51.819,105.835
-0.161,0.641,-0.520,-67.383,-43.518,94.666
-0.185,0.617,-0.561,-55.176,-27.405,77.271
-0.208,0.585,-0.641,-51.697,-23.621,70.313
-0.208,0.577,-0.658,-38.940,-26.306,56.396
-0.218,0.555,-0.655,-31.616,-28.076,49.744
